fee_id,payment_id,fee_date,fee_amount,tax_amount,currency,fee_type
FEE001,PAY001,2026-08-01,200,36,INR,processing
FEE002,PAY002,2026-08-01,200,36,INR,processing
FEE003,PAY003,2026-08-02,300,54,INR,processing
FEE004,PAY004,2026-08-02,150,27,INR,processing
FEE005,PAY005,2026-08-03,500,90,INR,processing
FEE006,PAY006,2026-08-03,200,36,INR,processing
FEE007,PAY006,2026-08-03,50,9,INR,platform
FEE008,PAY007,2026-08-04,150,27,INR,processing
FEE009,PAY008,2026-08-04,200,36,INR,processing
FEE010,PAY009,2026-08-05,180,32,INR,processing
FEE011,PAY010,2026-08-05,220,40,INR,processing
FEE012,PAY011,2026-08-06,400,72,INR,processing
FEE013,PAY012,2026-08-06,200,36,INR,processing
FEE014,PAY013,2026-08-07,90,16,INR,processing
FEE015,PAY014,2026-08-07,60,11,INR,processing
FEE016,PAY015,2026-08-08,200,36,INR,processing
FEE017,PAY016,2026-08-08,100,18,INR,processing
FEE018,PAY017,2026-08-09,170,30,INR,processing
FEE900,PAY901,2026-08-10,50,9,INR,processing
