order_id,order_date,customer_id,order_amount,currency,status
ORD001,2026-08-01,CUST001,12000,INR,completed
ORD002,2026-08-01,CUST002,8000,INR,completed
ORD003,2026-08-02,CUST003,15000,INR,completed
ORD004,2026-08-02,CUST004,5000,INR,completed
ORD005,2026-08-03,CUST005,30000,INR,completed
ORD006,2026-08-03,CUST006,6000,INR,completed
ORD007,2026-08-04,CUST007,4500,INR,completed
ORD008,2026-08-04,CUST008,9000,INR,completed
ORD009,2026-08-05,CUST009,7000,INR,completed
ORD010,2026-08-05,CUST010,11000,INR,completed
ORD011,2026-08-06,CUST011,25000,INR,completed
ORD013,2026-08-07,CUST013,3000,INR,completed
ORD014,2026-08-07,CUST014,2000,INR,completed
ORD015,2026-08-08,CUST015,10000,INR,completed
ORD016,2026-08-08,CUST016,5500,INR,completed
ORD017,2026-08-09,CUST017,8500,INR,completed
