payment_id,order_id,payment_date,payment_amount,currency,payment_status
PAY001,ORD001,2026-08-01,12000,INR,captured
PAY002,ORD002,2026-08-01,8000,INR,captured
PAY003,ORD003,2026-08-02,15000,INR,captured
PAY004,ORD004,2026-08-02,5000,INR,captured
PAY005,ORD005,2026-08-03,30000,INR,captured
PAY006,ORD006,2026-08-03,6000,INR,captured
PAY007,ORD007,2026-08-04,4500,INR,captured
PAY008,ORD008,2026-08-04,9000,INR,captured
PAY009,ORD009,2026-08-05,7000,INR,captured
PAY010,ORD010,2026-08-05,11000,INR,captured
PAY011,ORD011,2026-08-06,25000,INR,captured
PAY012,ORD999,2026-08-06,6000,INR,captured
PAY013,ORD013,2026-08-07,3000,INR,captured
PAY013,ORD013,2026-08-07,3000,INR,captured
PAY014,ORD014,2026-08-07,2000,INR,captured
PAY015,ORD015,2026-08-08,10000,INR,captured
PAY016,ORD016,2026-08-08,5500,INR,captured
PAY017,ORD017,2026-08-09,8500,INR,captured
