settlement_id,payment_id,settlement_date,settlement_amount,currency,settlement_status
SET001,PAY001,2026-08-03,11764,INR,settled
SET002,PAY002,2026-08-03,7500,INR,settled
SET003,PAY003,2026-08-04,12000,INR,settled
SET006A,PAY006,2026-08-05,2600,INR,settled
SET006B,PAY006,2026-08-05,2605,INR,settled
SET007,PAY007,2026-08-05,4323,INR,settled
SET008,PAY008,2026-08-05,8764,INR,settled
SET009,PAY009,2026-08-06,6788,INR,settled
SET010,PAY010,2026-08-06,10740,INR,settled
SET011,PAY011,2026-08-07,20000,INR,settled
SET012,PAY012,2026-08-07,5764,INR,settled
SET013,PAY013,2026-08-08,2894,INR,settled
SET014,PAY014,2026-08-08,1929,INR,settled
SET015,PAY015,2026-08-09,9764,INR,settled
SET016,PAY016,2026-08-09,5382,INR,settled
SET017,PAY017,2026-08-10,8300,INR,settled
SET900,PAY902,2026-08-10,1000,INR,settled
